Nº Factura/ Regis.;Nº Factura Proveedor;Fecha Fra.;Fecha Recep.;Hora;Proveedor;IRPF Alq.;IRPF;Bases Exentas;Bases Con IVA;IVA total;% Ret.;Ret. Alq.;IRPF;Total;Estado;Contabilizada;Recurrente
COM/26-000086;F/ 038;21/01/2026;21/01/2026;13:21;ESTRUSUR SOLAR, SL.;No;No;0,00;948,00;199,08;0,00;0,00;0,00;1.147,08;Sin conformar;Si;No
COM/26-000085;260613;10/02/2026;10/02/2026;13:17;SOLARTECNIK IMPORTADORA Y DISTRIBUIDORA SL;No;No;0,00;131,50;27,62;0,00;0,00;0,00;159,12;Sin conformar;Si;No
COM/26-000084;260665;12/02/2026;12/02/2026;13:15;SOLARTECNIK IMPORTADORA Y DISTRIBUIDORA SL;No;No;0,00;19,50;4,10;0,00;0,00;0,00;23,60;Sin conformar;Si;No
COM/26-000083;A/40;10/02/2026;10/02/2026;13:13;TRANSPORTES FRANZAR, S.L;No;No;0,00;180,00;37,80;0,00;0,00;0,00;217,80;Sin conformar;Si;No
COM/26-000082;2026/F/001428;18/02/2026;18/02/2026;13:12;BIOMASA ECO-FORESTAL DE VILLACAÑAS SLU;No;No;0,00;990,00;207,90;0,00;0,00;0,00;1.197,90;Sin conformar;Si;No
COM/26-000081;126-00003;31/01/2026;31/01/2026;13:11;RAMÍREZ LÓPEZ AGUSTÍN Y DOS MÁS C.B.;No;Si;0,00;440,00;92,40;15,00;0,00;66,00;466,40;Sin conformar;Si;Si
COM/26-000080;11F / 0000343;09/01/2026;09/01/2026;13:08;ITV VALDEPEÑAS, S.L.;No;No;16,92;48,39;6,61;0,00;0,00;0,00;55,00;Sin conformar;Si;No
COM/26-000079;171262N000003847;05/01/2026;05/01/2026;12:45;EDISTRIBUCION REDES DIGITALES SLU;No;No;0,00;6.497,16;1.364,40;0,00;0,00;0,00;7.861,56;Sin conformar;Si;No
COM/26-000078;2026-724-100021975;31/01/2026;31/01/2026;12:42;RED ESPAÑOLA DE SERVICIOS SAU (RESSA);No;No;0,00;193,37;40,61;0,00;0,00;0,00;233,98;Sin conformar;Si;No
COM/26-000077;2026/AA/156469;01/02/2026;01/02/2026;12:40;NEOTEL 2000 SL;No;No;0,00;37,86;7,95;0,00;0,00;0,00;45,81;Sin conformar;Si;No
COM/26-000076;A 147;05/02/2026;05/02/2026;12:38;PINTURAS JAEN SLU;No;No;0,00;22,04;4,63;0,00;0,00;0,00;26,67;Sin conformar;Si;No
COM/26-000075;F26000994;31/01/2026;31/01/2026;12:23;FERRETERIA UBETENSE SL;No;No;0,00;3.081,36;647,09;0,00;0,00;0,00;3.728,45;Sin conformar;Si;No
COM/26-000074;FV26-03408;31/01/2026;31/01/2026;12:12;PROVEEDORA A LA INDUSTRIA Y CONSTRUCCIÓN SA;No;No;0,00;1.066,56;223,98;0,00;0,00;0,00;1.290,54;Sin conformar;Si;No
COM/26-000073;4613618349;31/01/2026;31/01/2026;12:08;RECA HISPANA SAU;No;No;0,00;899,77;188,95;0,00;0,00;0,00;1.088,72;Sin conformar;Si;No
COM/26-000072;26000262/1;31/01/2026;31/01/2026;12:01;SUMINISTROS INDUSTRIALES LUQUE SL;No;No;0,00;18,25;3,83;0,00;0,00;0,00;22,08;Sin conformar;Si;No
COM/26-000071;AM/2601036;31/01/2026;31/01/2026;11:38;JAEN CLIMA SL;No;No;0,00;28,93;6,08;0,00;0,00;0,00;35,01;Sin conformar;Si;No
COM/26-000070;AM/ 2601035;31/01/2026;31/01/2026;11:03;JAEN CLIMA SL;No;No;0,00;4.203,24;882,68;0,00;0,00;0,00;5.085,92;Sin conformar;Si;No
COM/26-000069;1166920864;09/02/2026;09/02/2026;10:27;BERNER MONTAJE Y FIJACION SL;No;No;0,00;175,86;36,93;0,00;0,00;0,00;212,79;Sin conformar;Si;No
COM/26-000068;N_26000313705;24/01/2026;24/01/2026;10:14;GAOLANIA SERVICIOS SL;No;No;0,00;96,42;20,25;0,00;0,00;0,00;116,67;Sin conformar;Si;No
COM/26-000067;K 12955;09/02/2026;09/02/2026;10:00;HIERROS JOMAVI SLL;No;No;0,00;102,00;21,42;0,00;0,00;0,00;123,42;Sin conformar;Si;No
COM/26-000066;FV26-05073;10/02/2026;10/02/2026;9:52;PROVEEDORA A LA INDUSTRIA Y CONSTRUCCIÓN SA;No;No;0,00;1.275,00;267,75;0,00;0,00;0,00;1.542,75;Sin conformar;Si;No
COM/26-000065;A/ 20373;12/02/2026;19/02/2026;17:43;GRUPO MOLEIMAR 2003 SLU;No;No;0,00;90,91;19,09;0,00;0,00;0,00;110,00;Sin conformar;Si;No
COM/26-000064;614100208;10/02/2026;10/02/2026;17:24;SOTEC LUIS CROVETTO SA;No;No;0,00;1.434,62;301,27;0,00;0,00;0,00;1.735,89;Sin conformar;Si;No
COM/26-000063;2026105674;31/01/2026;31/01/2026;17:02;EL BOTIJO AGUA DE ANDALUCIA SL;No;No;0,00;12,73;1,27;0,00;0,00;0,00;14,00;Sin conformar;Si;No
COM/26-000062;2026100879;31/01/2026;31/01/2026;17:00;EL BOTIJO AGUA DE ANDALUCIA SL;No;No;0,00;6,72;0,67;0,00;0,00;0,00;7,39;Sin conformar;Si;No
COM/26-000061;2026100187;31/01/2026;31/01/2026;16:57;EL BOTIJO AGUA DE ANDALUCIA SL;No;No;0,00;-18,03;-1,80;0,00;0,00;0,00;-19,83;Sin conformar;Si;No
COM/26-000060;V01/001161;26/01/2026;26/01/2026;13:24;PRIMALUM CANALES S.L.;No;No;0,00;308,61;64,81;0,00;0,00;0,00;373,42;Sin conformar;Si;No
COM/26-000059;V01 / 001728;02/02/2026;02/02/2026;12:47;PRIMALUM CANALES S.L.;No;No;0,00;4.073,70;855,48;0,00;0,00;0,00;4.929,18;Sin conformar;Si;No
COM/26-000058;1/498;09/02/2026;09/02/2026;12:44;INVERSOLAR EXTREMADURA SL;No;No;0,00;954,75;200,50;0,00;0,00;0,00;1.155,25;Sin conformar;Si;No
COM/26-000057;E302-40251096;10/02/2026;10/02/2026;10:46;E302 MEDIA MARKT JAÉN, S.A;No;No;10,39;207,08;41,30;0,00;0,00;0,00;248,38;Sin conformar;Si;No
COM/26-000056;03/26;01/02/2026;01/02/2026;17:53;AGUSTIN GARCIA PANCORBO;Si;No;0,00;539,22;113,24;19,00;102,45;0,00;550,01;Sin conformar;Si;No
COM/26-000055;01/26;01/01/2026;01/01/2026;16:50;AGUSTIN GARCIA PANCORBO;Si;No;0,00;539,22;113,24;0,00;102,45;0,00;550,01;Sin conformar;Si;No
COM/26-000054;9778787;31/01/2026;31/01/2026;12:53;SALVADOR ESCODA SA;No;No;0,00;-6,93;-1,46;0,00;0,00;0,00;-8,39;Sin conformar;Si;No
COM/26-000053;6 000137;31/01/2026;31/01/2026;12:21;PERSONALIZZA LABORAL, DEPORTE E IMPRESIÓN;No;No;0,00;2.015,14;423,18;0,00;0,00;0,00;2.438,32;Sin conformar;Si;No
COM/26-000052;VTA/26-000048;01/02/2026;01/02/2026;11:58;LORRYGASA SL;No;No;0,00;159,52;33,50;0,00;0,00;0,00;193,02;Sin conformar;Si;No
COM/26-000051;1260073458;30/01/2026;30/01/2026;11:55;CARGLASS SLU;No;No;0,00;126,01;26,46;0,00;0,00;0,00;152,47;Sin conformar;Si;No
COM/26-000050;IGNIS 260025174;30/01/2026;30/01/2026;11:49;IGNIS ENERGIA/ LOOP ELECTRICIDAD Y GAS SL;No;No;0,00;40,06;8,41;0,00;0,00;0,00;48,47;Sin conformar;Si;No
COM/26-000049;26015;30/01/2026;30/01/2026;11:41;JOSE MANUEL LOPEZ AYLLON;No;Si;0,00;450,00;94,50;1,00;0,00;4,50;540,00;Sin conformar;Si;No
COM/26-000048;27;31/01/2026;31/01/2026;11:37;HERMANOS RAMIREZ RODRIGUEZ;No;No;0,00;120,00;25,20;0,00;0,00;0,00;145,20;Sin conformar;Si;No
COM/26-000047;1/21;21/01/2026;21/01/2026;11:33;CONSTRUCCIONES Y MATERIALES FALLA;No;No;0,00;65,00;13,65;0,00;0,00;0,00;78,65;Sin conformar;Si;No
