factura_numero,ref,descripcion,cantidad,precio,descuento,importe
68,140948,JOSE ANTONIO PÉREZ MELENDO,1.0,77.77,0.0,77.77
69,140948,JOSE ANTONIO PÉREZ MELENDO,1.0,77.77,0.0,77.77
70,CO14652,TERMOSTATO DIGITAL DE SUPERFICIE MUNDOCONTROL FN-42,1.0,118.0,35.0,76.7
64,MULPTHKC32,FUENTE TÓJAR,15.0,22.23,77.0,76.69349999999999
44,1007068,MINI LINTERNA POCKET 1000,3.0,25.45,0.0,76.35
Líneas de factura de compra,19032005508/1,FRANCISCO PORCUNA (ARJONA),36.0,5.89,64.0,76.33439999999999
8,HF07305,FRANCISCO PORCUNA,1.0,76.31,0.0,76.31
23,DINAK80DP-TUBO-1000,MÓDULO RECTO DINAK DW D 80,4.0,45.4,58.0,76.272
24,DINAK80DP-TUBO-1000,MÓDULO RECTO DINAK DW D 80,4.0,45.4,58.0,76.272
38,AS04023,"ALMUDENA CASADO, JUAN CARLOS MORALES",2.0,63.0,40.0,75.6
70,AS01016,ANASTASIO (FUENTE TÓJAR),1.0,126.0,40.0,75.6
6,CEI 70400020,ALMACÉN (ANTONIO PERETE),1.0,74.7,0.0,74.7
64,REF_AUTO_2F43B4,ROLLO 100 M MULTICAPA 20X2.0 BLANSOL,1.0,161.0,54.0,74.05999999999999
39,6294,"NAVE PRINCIPAL Y CONTIGUA 40, Nº9241 NAVE NUEVA (35)",1.0,74.0,0.0,74.0
47,REF_AUTO_2F43B4,INVERSOR GROWATT MOD6000TL3-X,2.0,73.42,50.0,73.42
38,AS01016,BI NATURA (GRANADA),1.0,122.0,40.0,73.2
34,6292,CHAQUETA SOFTSHELL HORIZON TALLA S NEGRO,3.0,24.3,0.0,72.9
34,6292,CHAQUETA SOFTSHELL HORIZON NGREO TALLA XXXL NEGRO,3.0,24.3,0.0,72.9
6,MIG 820401001009203,AFIRENAS-L HO7Z1-K DE 10 NEGRO BB/CT (ROLLO478984),50.0,1.4237,0.0,71.185
6,MIG 820401001008903,AFIRENAS - L H07Z1-K DE 10 GRIS BB/CT (ROLLO0478985),50.0,1.4237,0.0,71.185
48,14809025,EOSS LUNA-LUMIX BRASERO FUNDICIÓN GRANDE 135X95MM (SML111-02) RESPUESTO EOSS BRASERO 9KW,1.0,100.0,30.0,70.0
6,HIJA20022248-002,MANUEL PORRAS,1.0,70.0,0.0,70.0
22,CABLE KIT,CABLE KIT  (PYLONTECH),5.0,13.95,0.0,69.75
21,6241,PORTES,1.0,69.0,0.0,69.0
62,624,TRANSPORTES,1.0,69.0,0.0,69.0
Líneas de factura de compra,CAJA-4,FRANCISCO PORCUNA,1.0,140.0,51.0,68.6
55,GAE 233.2500.0,MANGUITO FLEXIBLE M-25 -DE PCV-,50.0,1.346,0.0,67.30000000000001
52,535050,VÁLVULA REDUCTORA PRESIÓN 3/4 C/RACORES C/MANOMETRO CALEFFI,1.0,145.8,54.0,67.068
64,535050,VÁLVULA REDUCTORA PRESIÓN 3/4 C/RACORES C/MANOMETRO CALEFFI,1.0,145.8,54.0,67.068
68,140947,JOSE ANTONIO PÉREZ MELENDO,1.0,66.66,0.0,66.66
69,140947,JOSE ANTONIO PÉREZ MELENDO,1.0,66.66,0.0,66.66
25,6241,PORTES,1.0,65.0,0.0,65.0
71,020648/120,ALMACÉN,100.0,0.648,0.0,64.8
27,160456,Mª JOSÉ (GRANADA),10.0,12.88,50.0,64.4
37,6297,MES DE ENERO,1.0,64.28,0.0,64.28
